,Gpp
2019-09-22,0.005213261807699531
2019-09-30,0.003800348815392226
2019-10-08,0.0034343058658979713
2019-10-16,0.00261986968461631
2019-10-24,0.002260011598751428
2019-11-01,0.0027704146553635682
2019-11-09,0.0023484981322598824
2019-11-17,0.002103269824483598
2019-11-25,0.00017812185511795003
2019-12-03,0.0008719651355177677
2019-12-11,0.0005326888634929318
2019-12-19,0.0007767956743479969
2019-12-27,0.0004736878912446519
2020-01-01,0.0009312603407986159
2020-01-09,2.727241714568374e-05
2020-01-17,9.533150255001963e-06
2020-01-25,0.0013103075374827297
2020-02-02,0.0007896421444044536
2020-02-10,0.0013486721135313056
2020-02-18,0.0020786429460828556
2020-02-26,0.0023464376481825847
2020-03-05,0.0032378793047572007
2020-03-13,0.0011312628993467185
